Graph Seed,Clustering Coefficient,Lambda_2,Max |x_i|
193,0.3056389516915832,0.7112664247520742,1.3503136816496257
499,0.2904875825928458,0.6537294425720342,1.3225449468856232
936,0.341109113363118,0.8995957687338215,1.361731595161501
590,0.3418812181970076,0.6324033999523796,1.2876045020625235
990,0.366322892793481,0.6663065849534443,1.382043404870117
981,0.27875085440874914,0.6242980777010867,1.362518781178
519,0.2944551234798912,0.8304284655215344,1.4795175089951056
928,0.295718462823726,0.6126243433770917,1.2429292138317547
849,0.2787071116018484,0.8254807995127481,1.337686826582216
463,0.3486063643958381,0.6251067789863035,1.5591196585304203
171,0.27688130582867426,0.7468452655364015,1.3113886549836804
919,0.33230986849407906,0.7339483456938033,1.6022479095568407
768,0.30155633839844365,0.7047722607405733,1.324101356489065
369,0.43562314878104347,0.6566006319882401,1.3831552538317051
303,0.31577519487736205,0.8809579437497628,1.3649978462678012
710,0.3168008737953336,0.762710711515129,1.4992536909673932
356,0.31128294220399483,0.6847053837469782,1.3371053022595485
863,0.30325060646268076,0.7394710558291987,1.338614717858712
155,0.3078143924404312,0.6811633078987307,1.3685829824643072
213,0.3085207036730583,0.7528270032656739,1.3830003905859505
237,0.3542558318874109,0.6564639018344682,1.442285321026078
193,0.3056389516915832,0.7112664247520742,1.3789903921729885
936,0.341109113363118,0.8995957687338215,1.5617625433769486
35,0.28572023951280917,0.8564281011807438,1.4363186539606467
321,0.3308962198158874,0.8012659714309819,1.2560577362881413
135,0.3159299764562922,0.7537557097971543,1.359416730750394
788,0.29409508620034935,0.7088807756843881,1.5792839950084454
419,0.4018357296750649,0.6598391000414254,1.4455892579906422
683,0.3762711203846938,0.8068770955632063,1.2181422630670817
237,0.3542558318874109,0.6564639018344682,1.3329635041317105
322,0.29343456680917984,0.6994182840343922,1.5616821408084949
161,0.3393658972606341,0.48671952346792474,1.2867424983475395
919,0.33230986849407906,0.7339483456938033,1.4950403799576255
275,0.32334485689748843,0.7822591954059624,1.3420129362411224
189,0.28864016100858203,0.692345204862507,1.3970408738959095
820,0.28675491175491175,0.7149360577007994,1.2784846617058891
546,0.27425294004241374,0.6724714548349474,1.6710621906781
135,0.3159299764562922,0.7537557097971543,1.2887186450386448
576,0.27710478963941576,0.8061277923441663,1.3813022399915273
405,0.3155720182809966,0.8027198180144453,1.4261741314187426
728,0.276791775475986,0.646364391897458,1.3408175756297709
612,0.29687883676803345,0.7629412745347026,1.40423764538345
871,0.28716020821283983,0.6989209129394173,1.3402344341857881
675,0.3668204602415129,0.6689988272867208,1.2595773298375537
970,0.2800673011199327,0.6750314440259483,1.4344062466494216
710,0.3168008737953336,0.762710711515129,1.4031207852214609
55,0.3574334119612757,0.738068929735863,1.4712126573083684
612,0.29687883676803345,0.7629412745347026,1.546699820524535
651,0.32682675941189876,0.5097331488775582,1.3915673245206035
512,0.2767635872899031,0.7799238756057961,1.255611665151407
35,0.28572023951280917,0.8564281011807438,1.439379267642301
417,0.4067779096864969,0.7029751554506717,1.333357708325284
424,0.33869969040247677,0.6119044498001658,1.4526063046037
832,0.2920634920634921,0.6749246848451146,1.4208677713276219
305,0.4168546365914787,0.718450174670169,1.3262676580345145
422,0.44258723732407945,0.7089000011299426,1.273553749938205
569,0.3643080987956334,0.7959776864373957,1.5433911250175703
96,0.28232995075100337,0.6610727912709515,1.2147287473615442
882,0.29720338141390773,0.7377637357693902,1.2439785238119496
293,0.4331140158702485,0.7401673541758808,1.4606088231900038
467,0.31982038429406845,0.7414039712372792,1.3531252259576967
499,0.2904875825928458,0.6537294425720342,1.3451244849182322
919,0.33230986849407906,0.7339483456938033,1.568423192422627
377,0.3799270904534062,0.6942481169509856,1.5413721768225264
710,0.3168008737953336,0.762710711515129,1.4762016658620163
161,0.3393658972606341,0.48671952346792474,1.4163802927868991
963,0.3643626523489224,0.7043972125032082,1.3994884442352828
751,0.36821659162990433,0.7549026049751356,1.4474630124107504
983,0.3021324478754819,0.6843678287265993,1.5102679377868402
136,0.3018195793126541,0.734099337339367,1.6857404433883343
778,0.30180495097392607,0.8189965765537809,1.3893025757403379
779,0.34030131149244724,0.6728443987327308,1.377129770385993
746,0.3165964152806258,0.6457641440685371,1.387086986338727
552,0.33248082327029693,0.7469434310051284,1.5101007955569112
990,0.366322892793481,0.6663065849534443,1.2813040185823366
697,0.32486709197235514,0.568049013137399,1.3486076632867716
43,0.3206444140654667,0.7396937550890251,1.1794963517305683
424,0.33869969040247677,0.6119044498001658,1.2425258579646128
557,0.3085655314757482,0.6889315091277423,1.2772235380443127
343,0.2912237731489809,0.6084593500916918,1.2608404032960001
751,0.36821659162990433,0.7549026049751356,1.441713643651235
85,0.31659699314161555,0.6016263366536401,1.4928890171608473
678,0.3266286345233714,0.7381514258715157,1.326720017747076
417,0.4067779096864969,0.7029751554506717,1.2760697892550443
786,0.3070165945165945,0.7736944684389369,1.5316020655073606
550,0.2906052667662575,0.5811688567948314,1.3942148119457656
425,0.29694428378638904,0.741835863327571,1.4275167915769318
919,0.33230986849407906,0.7339483456938033,1.368547384709621
348,0.3122069451016819,0.618462472413732,1.344243520728463
